MAMMAL,top incisor,bottom incisor,top cannine,bot cannine,top premol,botpremol,topmolar,botmolar,totals
1,RIVER OTTER,3,3,1,1,4,3,1,2,18
2,MOLE,3,2,1,0,3,3,3,3,18
3,REINDEER,0,4,1,0,3,3,3,3,17
4,WEASEL,3,3,1,1,3,3,1,2,17
5,HOUSE BAT,2,3,1,1,1,2,3,3,16
6,RED BAT,1,3,1,1,2,2,3,3,16
7,PIKA,2,1,0,0,2,2,3,3,13
8,RABBIT,2,1,0,0,3,2,3,3,14
9,BEAVER,1,1,0,0,2,1,3,3,11
10,GROUNDHOG,1,1,0,0,2,1,3,3,11
11,GRAY SQUIRREL,1,1,0,0,1,1,3,3,10
12,HOUSE MOUSE,1,1,0,0,0,0,3,3,8
13,PORCUPINE,1,1,0,0,1,1,3,3,10
14,WOLF,3,3,1,1,4,4,2,3,21
15,BEAR,3,3,1,1,4,4,2,3,21
16,WILD RACCOON,3,3,1,1,4,4,3,2,21
17,MARTEN,3,3,1,1,4,4,1,2,19
18,WEASEL,3,3,1,1,3,3,1,2,17
19,WOLVERINE,3,3,1,1,4,4,1,2,19
20,BADGER,3,3,1,1,3,3,1,2,17
21,BROWN RAT,2,3,1,1,3,3,3,3,19
22,SEA OTTER,3,2,1,1,3,3,1,2,16
23,JAGUAR,3,3,1,1,3,2,1,1,15
24,COUGAR,3,3,1,1,3,2,1,1,15
25,FUR SEAL,3,2,1,1,4,4,1,1,17
26,SEA LION,3,2,1,1,4,4,1,1,17
27,GREY SEAL,3,2,1,1,3,3,2,2,17
28,ELEPHANT SEAL,2,1,1,1,4,4,1,1,15
29,REINDEER,0,4,1,0,3,3,3,3,17
30,ELK,0,4,1,0,3,3,3,3,17
31,DEER,0,4,0,0,3,3,3,3,16
32,MOOSE,0,4,0,0,3,3,3,3,16
33,GREY WOLF,3,3,1,1,4,4,2,3,21
34,WHITE WEASEL,3,3,1,1,3,3,1,2,17
35,MOUNTAIN BEAVER,1,1,0,0,2,1,3,3,11
36,WHITE RAT,2,3,1,1,3,3,3,3,19
37,PLAIN MOLE,3,2,1,0,3,3,3,3,18
38,SILVER HEAD BAT,2,3,1,1,2,3,3,3,18
39,MOUNTAIN BAT,2,3,1,1,1,2,3,3,16
40,WHITE BAT,1,3,1,1,2,2,3,3,16
41,HOUSE RABBIT,2,1,0,0,3,2,3,3,14
42,BLACK SQUIRREL,1,1,0,0,1,1,3,3,10
43,GREEN MOUSE,1,1,0,0,0,0,3,3,8
44,BIG PORCUPINE,1,1,0,0,2,2,3,3,12
45,MOUNTAIN WOLF,3,3,2,2,4,4,2,3,23
46,FOREST BEAR,3,3,1,1,4,4,2,3,21
47,BARRAGE RACCOON,3,3,1,1,4,4,3,2,21
48,WHITE MARTEN,3,3,1,1,4,4,1,2,19
49,MIGHTY WEASEL,3,3,1,1,3,3,1,2,17
50,BLACK WOLVERINE,3,3,1,1,4,4,1,2,19
51,WHITE BADGER,3,3,1,1,3,3,1,2,17
52,BARRAGE OTTER,3,3,1,1,4,3,1,2,18
53,RIVER OTTER,3,2,1,1,3,3,1,2,16
54,SAFARI JAGUAR,3,3,1,1,3,2,1,1,15
55,SAVANA COUGAR,3,3,1,1,3,2,1,1,15
56,CANADIAN MOOSE,0,4,1,1,3,3,3,3,18
57,WATER FUR SEAL,3,2,1,1,4,4,1,1,17
58,OCEAN LION,3,2,1,1,4,4,1,1,17
59,BLACK SEAL,3,2,1,1,3,3,2,2,17
60,BIG ELEPHANT SEAL,2,1,1,1,4,4,1,1,15
61,LAPONIA REINDEER,0,4,1,0,3,3,3,3,17
62,FINLAND ELK,0,4,1,0,3,3,3,3,17
63,HILL RIVER BEAVER,1,1,0,0,2,1,3,3,11
64,FOREST RABBIT,2,2,0,0,3,2,3,3,15
65,MONTAIN DEER,0,4,0,0,2,2,3,3,14
66,BLACK BADGER,3,2,1,1,2,3,1,2,15
67,SAVANA ELEPHANT,2,1,2,1,4,4,1,1,16
68,WHITE SQUIRREL,1,1,0,0,2,2,3,3,12
69,HOUSE RACCOON,3,3,2,2,4,4,3,2,23
70,BROWN WEASEL,3,2,1,1,3,2,1,2,15
71,RIVER MOLE,3,2,1,0,3,2,2,3,16
72,WHITE REINDEER,0,4,1,0,3,2,2,3,15
73,BLACK WEASEL,3,3,1,1,2,2,1,2,15
74,FARM BAT,2,3,1,2,1,2,2,3,16
75,GREEN BAT,1,3,1,1,2,2,3,3,16
76,MOUNTAIN RABBIT,2,1,1,1,3,2,3,3,14
77,FARM BEAVER,1,1,0,0,1,1,3,3,10
78,MOUNTAIN GROUNDHOG,1,1,1,1,2,1,3,3,13
79,HILL WOLF,3,3,2,2,4,4,2,3,23
80,BLACK FUR SEAL,3,2,1,1,4,4,1,1,17
